"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","All ages","Same Employer","€","737"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","All ages","Different Employer","€","596"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cavan","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","All ages","Same Employer","€","752"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","All ages","Different Employer","€","620"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Carlow","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","All ages","Same Employer","€","714"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","All ages","Different Employer","€","558"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Donegal","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","All ages","Same Employer","€","968"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","All ages","Different Employer","€","809"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Dublin","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","All ages","Same Employer","€","825"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","All ages","Different Employer","€","644"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Galway","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","All ages","Same Employer","€","907"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","All ages","Different Employer","€","741"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kildare","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","All ages","Same Employer","€","806"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","All ages","Different Employer","€","660"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kilkenny","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","All ages","Same Employer","€","752"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","All ages","Different Employer","€","626"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Kerry","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","All ages","Same Employer","€","717"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","All ages","Different Employer","€","585"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Longford","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","All ages","Same Employer","€","804"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","All ages","Different Employer","€","636"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Louth","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","All ages","Same Employer","€","845"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","All ages","Different Employer","€","651"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","25 years and over","Same Employer","€",""
